Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
01.08.2022 00:00:00,01.08.2022 00:15:00,17240,11564,1536,38.39999999999993,0,0,6.912000000000004,42655.6,285753.5999999999,79250.00000000001,0,9600,2112,01.08.2022
02.08.2022 00:00:00,02.08.2022 00:15:00,25520,11020,1536,44098.399999999994,0,0,6.912000000000004,18684.800000000003,277610.79999999993,66032.39999999998,0,9600,2112,02.08.2022
03.08.2022 00:00:00,03.08.2022 00:15:00,3272,13412,1492,39729.99999999999,0,0,6.912000000000004,32934.799999999996,271059.20000000007,75899.6,0,9600,2112,03.08.2022
04.08.2022 00:00:00,04.08.2022 00:15:00,8264,13224,1500,58867.59999999999,0,0,6.912000000000004,62421.600000000006,255259.1999999999,73612.00000000001,0,9600,2112,04.08.2022
05.08.2022 00:00:00,05.08.2022 00:15:00,23176,12528,1512,5925.200000000002,0,0,6.912000000000004,65831.20000000001,251959.20000000004,66874.80000000002,0,9600,2112,05.08.2022
06.08.2022 00:00:00,06.08.2022 00:15:00,191592,9064,1152,277.9999999999989,0,0,6.912000000000004,-96566,255274.8,38805.2,0,9600,2112,06.08.2022
07.08.2022 00:00:00,07.08.2022 00:15:00,105220,13308,1152,38.39999999999993,0,0,6.912000000000004,-74617.20000000003,245155.60000000003,42462.399999999994,0,9600,2112,07.08.2022
08.08.2022 00:00:00,08.08.2022 00:15:00,53632,9132,1152,28254.000000000007,0,0,6.912000000000004,17713.6,244435.20000000004,66968,0,9600,2112,08.08.2022
09.08.2022 00:00:00,09.08.2022 00:15:00,107504,13340,1152,52425.200000000026,0,0,6.912000000000004,1365.2000000000014,265201.1999999999,61689.19999999999,0,9600,2112,09.08.2022
10.08.2022 00:00:00,10.08.2022 00:15:00,66468,12744,1152,47676.80000000001,0,0,6.912000000000004,-6547.5999999999985,240395.6000000001,67707.99999999999,0,9600,2112,10.08.2022
11.08.2022 00:00:00,11.08.2022 00:15:00,41092,12636,1152,19697.600000000028,0,0,6.912000000000004,156810.80000000002,220294.40000000005,86092.80000000003,0,9600,2112,11.08.2022
12.08.2022 00:00:00,12.08.2022 00:15:00,20256,11376,1152,23105.200000000033,0,0,6.912000000000004,146149.59999999998,242123.20000000007,89041.19999999998,0,9600,2112,12.08.2022
13.08.2022 00:00:00,13.08.2022 00:15:00,56820,14556,1444,38.39999999999993,0,0,6.912000000000004,32751.2,231326.40000000002,80238.8,0,9600,2112,13.08.2022
14.08.2022 00:00:00,14.08.2022 00:15:00,27588,14512,1328,27360.80000000003,0,0,6.912000000000004,-20739.599999999995,211128.8000000001,68979.59999999999,0,9600,2112,14.08.2022
15.08.2022 00:00:00,15.08.2022 00:15:00,9452,14528,1152,38.39999999999993,0,0,6.912000000000004,20355.200000000004,216083.9999999999,89146.39999999998,0,9600,2112,15.08.2022
16.08.2022 00:00:00,16.08.2022 00:15:00,56220,12604,1152,58036.40000000003,0,0,6.912000000000004,87080.00000000001,219709.20000000004,102409.20000000003,0,9600,2112,16.08.2022
17.08.2022 00:00:00,17.08.2022 00:15:00,6764,14052,1152,31938.4,0,0,6.912000000000004,85028.00000000001,212144.0000000001,90261.20000000001,0,9600,2112,17.08.2022
18.08.2022 00:00:00,18.08.2022 00:15:00,25184,12320,1152,41422.000000000015,0,0,6.912000000000004,89135.2,207217.6,91576,0,9600,2112,18.08.2022
19.08.2022 00:00:00,19.08.2022 00:15:00,24552,9000,1152,69877.19999999997,0,0,6.912000000000004,20039.2,223216.80000000013,71536.4,0,9600,2112,19.08.2022
20.08.2022 00:00:00,20.08.2022 00:15:00,96284,9304,1152,592.8,0,0,6.912000000000004,-42994.80000000002,256713.9999999999,82539.59999999999,0,9600,2112,20.08.2022
21.08.2022 00:00:00,21.08.2022 00:15:00,208076,6916,1136,0,0,0,6.912000000000004,-115759.99999999997,362517.6,56366.80000000002,0,9600,2112,21.08.2022
22.08.2022 00:00:00,22.08.2022 00:15:00,204660,4768,1920,0,0,0,6.912000000000004,67355.59999999999,351363.5999999999,77421.60000000002,0,9600,2112,22.08.2022
23.08.2022 00:00:00,23.08.2022 00:15:00,109956,6608,2004,30260.39999999999,0,0,6.912000000000004,115390,292822.39999999997,76268.4,0,9600,2112,23.08.2022
24.08.2022 00:00:00,24.08.2022 00:15:00,95040,11168,1920,58308.00000000002,0,0,6.912000000000004,28337.999999999996,260791.6000000001,61974.40000000002,0,9600,2112,24.08.2022
25.08.2022 00:00:00,25.08.2022 00:15:00,5140,11032,1920,35164.00000000001,0,0,6.912000000000004,72075.19999999998,232774.40000000002,69150.79999999999,0,9600,2112,25.08.2022
26.08.2022 00:00:00,26.08.2022 00:15:00,2484,11996,1152,46337.600000000006,0,0,6.912000000000004,88008.8,237406.40000000002,88253.2,0,9600,2112,26.08.2022
27.08.2022 00:00:00,27.08.2022 00:15:00,28568,10452,1456,1390.8000000000038,0,0,6.912000000000004,-16803.200000000008,266333.2,50070.39999999998,0,9600,2112,27.08.2022
28.08.2022 00:00:00,28.08.2022 00:15:00,33004,8332,1536,38.39999999999993,0,0,6.912000000000004,-97628.79999999996,277983.19999999984,41650.39999999999,0,9600,2112,28.08.2022
29.08.2022 00:00:00,29.08.2022 00:15:00,54788,11700,1284,38.39999999999993,0,0,6.912000000000004,-34639.20000000002,289767.2,50830.79999999999,0,9600,2112,29.08.2022
30.08.2022 00:00:00,30.08.2022 00:15:00,24456,11908,1500,39002.40000000001,0,0,6.912000000000004,33841.2,253139.59999999998,69238.40000000001,0,9600,2112,30.08.2022
31.08.2022 00:00:00,31.08.2022 00:15:00,59708,4892,1320,46952.399999999994,0,0,6.912000000000004,7544.000000000005,242313.59999999998,63729.99999999999,0,9600,2112,31.08.2022
01.09.2022 00:00:00,01.09.2022 00:15:00,91976,7724,1228,88796.00000000003,0,0,6.912000000000004,8868.800000000005,293568.39999999997,43779.2,0,9600,2112,01.09.2022
02.09.2022 00:00:00,02.09.2022 00:15:00,22444,12648,1188,100109.60000000003,0,0,6.912000000000004,-37769.59999999999,263594.0000000001,35498.80000000001,0,9600,2112,02.09.2022
03.09.2022 00:00:00,03.09.2022 00:15:00,50528,12556,1360,48011.200000000004,0,0,6.912000000000004,-97652.39999999998,251819.20000000004,26937.600000000006,0,9600,2112,03.09.2022
04.09.2022 00:00:00,04.09.2022 00:15:00,7472,12592,1488,40238.4,0,0,6.912000000000004,-65772,262321.6,31760.8,0,9600,2112,04.09.2022
05.09.2022 00:00:00,05.09.2022 00:15:00,7140,10440,1152,118958.80000000003,0,0,6.912000000000004,58024.8,222648.00000000012,44100.40000000001,0,9600,2112,05.09.2022
06.09.2022 00:00:00,06.09.2022 00:15:00,26164,10904,1152,101236.80000000002,0,0,6.912000000000004,121411.59999999999,216463.6000000001,54390.799999999996,0,9600,2112,06.09.2022
07.09.2022 00:00:00,07.09.2022 00:15:00,9224,9472,1168,146823.59999999995,0,0,6.912000000000004,20934.399999999998,206483.2,47937.19999999999,0,9600,2112,07.09.2022
08.09.2022 00:00:00,08.09.2022 00:15:00,97328,7248,1152,120511.20000000001,0,0,6.912000000000004,47436.8,199780.80000000008,50583.60000000001,0,9600,2112,08.09.2022
09.09.2022 00:00:00,09.09.2022 00:15:00,28348,8348,1152,113552.8,0,0,6.912000000000004,38868.80000000001,188872.40000000008,35199.19999999999,0,9600,2112,09.09.2022
10.09.2022 00:00:00,10.09.2022 00:15:00,101540,10300,1232,40828,0,0,6.912000000000004,-3889.2000000000035,255996.8,46230.8,0,9600,2112,10.09.2022
11.09.2022 00:00:00,11.09.2022 00:15:00,117088,8476,1472,51001.2,0,0,6.912000000000004,-46481.599999999984,260772.79999999987,28237.199999999997,0,9600,2112,11.09.2022
